[DEBUG] 2021-12-14 22:33:22.496 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-12-14 22:33:22.502 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-12-14 22:33:22.507 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-12-14 22:33:22.587 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-12-14 22:33:22.589 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-12-14 22:33:22.819 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-12-14 22:33:22.820 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-12-14 22:33:22.828 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-12-14 22:33:23.170 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-12-14 22:33:23.202 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-12-14 22:33:23.202 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-12-14 22:33:23.226 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-12-14 22:33:23.264 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6778aea6
[DEBUG] 2021-12-14 22:33:23.264 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6778aea6
[DEBUG] 2021-12-14 22:33:23.267 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6778aea6
[DEBUG] 2021-12-14 22:33:23.267 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5853495b
[DEBUG] 2021-12-14 22:33:23.268 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7173ae5b
[DEBUG] 2021-12-14 22:33:23.268 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@4d192aef
[DEBUG] 2021-12-14 22:33:23.271 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@55d9b8f0
[DEBUG] 2021-12-14 22:33:23.273 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@55d9b8f0
[DEBUG] 2021-12-14 22:33:23.273 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@55d9b8f0
[DEBUG] 2021-12-14 22:33:23.274 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@710d89e2
[DEBUG] 2021-12-14 22:33:23.274 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@710d89e2
[DEBUG] 2021-12-14 22:33:23.274 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@710d89e2
[DEBUG] 2021-12-14 22:33:23.274 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@79d9214d
[DEBUG] 2021-12-14 22:33:23.275 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@79d9214d
[DEBUG] 2021-12-14 22:33:23.275 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@79d9214d
[DEBUG] 2021-12-14 22:33:23.276 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@a18649a
[DEBUG] 2021-12-14 22:33:23.276 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@a18649a
[DEBUG] 2021-12-14 22:33:23.276 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@a18649a
[DEBUG] 2021-12-14 22:33:23.277 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2ab0702e
[DEBUG] 2021-12-14 22:33:23.277 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2ab0702e
[DEBUG] 2021-12-14 22:33:23.277 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2ab0702e
[DEBUG] 2021-12-14 22:33:23.278 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@75fa1be3
[DEBUG] 2021-12-14 22:33:23.278 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@75fa1be3
[DEBUG] 2021-12-14 22:33:23.279 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@75fa1be3
[DEBUG] 2021-12-14 22:33:23.280 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@f679798
[DEBUG] 2021-12-14 22:33:23.280 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@f679798
[DEBUG] 2021-12-14 22:33:23.280 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@f679798
[DEBUG] 2021-12-14 22:33:23.280 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@44c13103
