[DEBUG] 2021-12-14 22:23:04.340 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-12-14 22:23:04.345 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-12-14 22:23:04.351 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-12-14 22:23:04.426 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-12-14 22:23:04.430 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-12-14 22:23:04.629 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-12-14 22:23:04.629 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-12-14 22:23:04.638 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-12-14 22:23:04.932 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-12-14 22:23:04.951 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-12-14 22:23:04.960 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-12-14 22:23:04.979 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-12-14 22:23:05.014 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@69228e85
[DEBUG] 2021-12-14 22:23:05.014 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@69228e85
[DEBUG] 2021-12-14 22:23:05.014 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@69228e85
[DEBUG] 2021-12-14 22:23:05.014 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@2f61d591
[DEBUG] 2021-12-14 22:23:05.015 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@53a9fcfd
[DEBUG] 2021-12-14 22:23:05.015 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@84487f4
[DEBUG] 2021-12-14 22:23:05.017 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@43d38654
[DEBUG] 2021-12-14 22:23:05.019 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@43d38654
[DEBUG] 2021-12-14 22:23:05.019 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@43d38654
[DEBUG] 2021-12-14 22:23:05.021 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@4fc142ec
[DEBUG] 2021-12-14 22:23:05.021 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@4fc142ec
[DEBUG] 2021-12-14 22:23:05.021 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@4fc142ec
[DEBUG] 2021-12-14 22:23:05.024 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1dd7796b
[DEBUG] 2021-12-14 22:23:05.025 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1dd7796b
[DEBUG] 2021-12-14 22:23:05.025 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@1dd7796b
[DEBUG] 2021-12-14 22:23:05.025 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@396639b
[DEBUG] 2021-12-14 22:23:05.026 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@396639b
